angle,distance
70.202637,8184.000000
70.339966,8288.000000
70.609131,0.000000
70.812378,7904.000000
70.999146,7968.000000
71.202393,7968.000000
71.246338,0.000000
71.405640,7984.000000
71.608887,7976.000000
71.812134,8000.000000
72.015381,7960.000000
72.202148,7872.000000
72.405396,7840.000000
72.608643,7784.000000
72.811890,7760.000000
73.015137,7744.000000
73.218384,7712.000000
73.421631,7680.000000
73.608398,7648.000000
73.811646,7616.000000
74.014893,7576.000000
74.218140,7552.000000
74.421387,7528.000000
74.624634,7504.000000
74.827881,7472.000000
75.014648,7440.000000
75.069580,0.000000
75.217896,7408.000000
75.421143,7376.000000
75.624390,7336.000000
75.827637,7368.000000
76.234131,7792.000000
76.420898,7776.000000
76.624146,7824.000000
76.827393,7920.000000
77.030640,7960.000000
77.233887,7984.000000
77.437134,8024.000000
77.640381,8032.000000
77.827148,7952.000000
78.030396,7944.000000
79.436646,1148.000000
79.639893,1142.000000
79.843140,1132.000000
80.046387,1128.000000
80.249634,1124.000000
80.496826,1114.000000
80.700073,1110.000000
80.809937,0.000000
80.903320,1104.000000
81.106567,1096.000000
81.309814,1092.000000
81.513062,1090.000000
81.699829,1086.000000
81.903076,1082.000000
82.106323,1076.000000
82.309570,1074.000000
82.562256,1068.000000
82.765503,1066.000000
82.968750,1066.000000
83.144531,0.000000
83.166504,1064.000000
83.369751,1062.000000
83.572998,1064.000000
83.765259,1060.000000
83.968506,1054.000000
84.171753,1052.000000
84.375000,1052.000000
84.572754,1054.000000
84.776001,1048.000000
84.979248,1048.000000
85.171509,1050.000000
85.374756,1048.000000
85.578003,1046.000000
85.781250,1044.000000
85.979004,1044.000000
86.182251,1046.000000
86.385498,1046.000000
86.577759,1046.000000
86.781006,1046.000000
86.984253,1044.000000
87.187500,1044.000000
87.385254,1046.000000
87.588501,1046.000000
87.791748,1046.000000
87.984009,1046.000000
88.187256,1046.000000
88.390503,1046.000000
88.593750,1050.000000
88.791504,1052.000000
88.994751,1056.000000
89.187012,1058.000000
89.390259,1056.000000
89.593506,1054.000000
89.796753,1058.000000
90.000000,1064.000000
90.186768,1066.000000
90.390015,1064.000000
90.593262,1064.000000
90.796509,1068.000000
90.933838,1074.000000
91.137085,1082.000000
91.323853,1080.000000
91.527100,1078.000000
91.730347,1084.000000
91.933594,1094.000000
92.120361,1094.000000
92.323608,1096.000000
92.526855,1100.000000
92.730103,1104.000000
92.916870,1110.000000
93.120117,1114.000000
93.262939,1118.000000
93.466187,1124.000000
94.075928,1136.000000
95.059204,7976.000000
95.262451,7912.000000
95.449219,7920.000000
95.652466,7920.000000
95.855713,7912.000000
96.058960,7912.000000
96.245728,7920.000000
96.448975,7936.000000
96.652222,7944.000000
96.855469,7944.000000
97.042236,7944.000000
97.245483,7944.000000
97.448730,7944.000000
97.651978,7960.000000
97.855225,7968.000000
98.041992,7984.000000
98.245239,7984.000000
98.448486,7992.000000
98.448486,0.000000
98.651733,8000.000000
98.657227,0.000000
98.838501,8000.000000
99.041748,8008.000000
99.085693,0.000000
99.244995,8016.000000
99.294434,0.000000
99.448242,8024.000000
99.508667,0.000000
99.651489,8064.000000
99.722900,0.000000
99.931641,0.000000
100.041504,8072.000000
100.145874,0.000000
100.244751,8008.000000
100.360107,0.000000
100.447998,8000.000000
100.568848,0.000000
100.640259,8016.000000
100.783081,0.000000
100.843506,8016.000000
101.046753,8016.000000
101.250000,8008.000000
101.436768,8072.000000
101.640015,8072.000000
101.843262,7984.000000
102.046509,7904.000000
102.249756,7848.000000
102.436523,7832.000000
102.639771,7840.000000
103.183594,8520.000000
103.386841,8520.000000
103.573608,8544.000000
